env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
3,20,20,0.3,a_star,geodesic,distractors,5,0.8,1.0,,0,0.00028432599356165156,0,0.000309189003019128
3,20,20,0.3,a_star,cose,distractors,,,,1.0,3,0.005419094995886553,3,0.005409247001807671
4,20,20,0.3,a_star,shap,jitter,5,1.0,0.8,,700,0.39846679200127255,250,0.13231577099941205
4,20,20,0.3,a_star,lime,jitter,5,0.6666666666666666,0.5,,500,0.2569569759943988,250,0.1429708350042347
4,20,20,0.3,a_star,rand,jitter,5,0.0,0.8,,0,0.00018899200222222134,0,0.00013898499310016632
4,20,20,0.3,a_star,geodesic,jitter,5,0.6666666666666666,0.8,,0,0.0002822310052579269,0,0.0002757359980023466
4,20,20,0.3,a_star,cose,jitter,,,,1.0,3,0.005943607000517659,3,0.00664412000332959
4,20,20,0.3,a_star,shap,dilate,5,1.0,0.4,,700,0.39846679200127255,150,0.05374926800141111
4,20,20,0.3,a_star,lime,dilate,5,1.0,0.4,,500,0.2569569759943988,250,0.042017733001557644
4,20,20,0.3,a_star,rand,dilate,5,-1.0,0.4,,0,0.00018899200222222134,0,9.679999493528157e-05
4,20,20,0.3,a_star,geodesic,dilate,5,1.0,0.4,,0,0.0002822310052579269,0,0.00025506199744995683
4,20,20,0.3,a_star,cose,dilate,,,,1.0,3,0.005943607000517659,3,0.002045246998022776
4,20,20,0.3,a_star,shap,erode,5,1.0,1.0,,700,0.39846679200127255,350,0.29106624200358056
4,20,20,0.3,a_star,lime,erode,5,-0.3333333333333333,0.6666666666666666,,500,0.2569569759943988,250,0.22953806499572238
4,20,20,0.3,a_star,rand,erode,5,0.2,0.6666666666666666,,0,0.00018899200222222134,0,0.00012285199773032218
4,20,20,0.3,a_star,geodesic,erode,5,0.7333333333333333,0.6666666666666666,,0,0.0002822310052579269,0,0.0002746879981714301
4,20,20,0.3,a_star,cose,erode,,,,0.0,3,0.005943607000517659,1,0.001040641996951308
4,20,20,0.3,a_star,shap,distractors,5,1.0,1.0,,700,0.39846679200127255,450,0.25725073099602014
4,20,20,0.3,a_star,lime,distractors,5,0.2,0.6666666666666666,,500,0.2569569759943988,250,0.12000322100357153
4,20,20,0.3,a_star,rand,distractors,5,0.06666666666666667,0.25,,0,0.00018899200222222134,0,0.00012348100426606834
4,20,20,0.3,a_star,geodesic,distractors,5,0.3333333333333333,0.42857142857142855,,0,0.0002822310052579269,0,0.000291311000182759
4,20,20,0.3,a_star,cose,distractors,,,,1.0,3,0.005943607000517659,3,0.00569378199725179
