env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
1,30,30,0.2,theta_star,rand,jitter,5,-0.30303030303030304,0.0,,0,0.00011180620640516281,0,0.0001228470355272293
1,30,30,0.2,theta_star,geodesic,jitter,5,0.9696969696969697,0.6666666666666666,,0,0.0005471580661833286,0,0.0005550826899707317
1,30,30,0.2,theta_star,cose,jitter,,,,0.0,3,0.04503549914807081,1,0.004630765877664089
1,30,30,0.2,theta_star,shap,dilate,5,0.4666666666666667,0.6666666666666666,,1300,15.191657890100032,350,1.8722763117402792
1,30,30,0.2,theta_star,lime,dilate,5,-0.3333333333333333,0.1111111111111111,,500,8.241555572021753,250,1.3424868769943714
1,30,30,0.2,theta_star,rand,dilate,5,-0.3333333333333333,0.25,,0,0.00011180620640516281,0,0.00011219875887036324
1,30,30,0.2,theta_star,geodesic,dilate,5,-0.6,0.25,,0,0.0005471580661833286,0,0.0005565620958805084
1,30,30,0.2,theta_star,cose,dilate,,,,0.0,3,0.04503549914807081,15,0.13377877604216337
1,30,30,0.2,theta_star,shap,erode,5,1.0,0.6666666666666666,,1300,15.191657890100032,450,1.2967536747455597
1,30,30,0.2,theta_star,lime,erode,5,0.0,0.25,,500,8.241555572021753,250,0.848365378100425
1,30,30,0.2,theta_star,rand,erode,5,0.0,0.1111111111111111,,0,0.00011180620640516281,0,9.298976510763168e-05
1,30,30,0.2,theta_star,geodesic,erode,5,-0.42857142857142855,0.1111111111111111,,0,0.0005471580661833286,0,0.0005298126488924026
1,30,30,0.2,theta_star,cose,erode,,,,0.0,3,0.04503549914807081,1,0.004346094094216824
1,30,30,0.2,theta_star,shap,distractors,5,0.36363636363636365,0.6666666666666666,,1300,15.191657890100032,750,8.91521055297926
1,30,30,0.2,theta_star,lime,distractors,5,0.3939393939393939,0.42857142857142855,,500,8.241555572021753,250,4.171156942844391
1,30,30,0.2,theta_star,rand,distractors,5,-0.3939393939393939,0.0,,0,0.00011180620640516281,0,0.00011799996718764305
1,30,30,0.2,theta_star,geodesic,distractors,5,0.3333333333333333,0.42857142857142855,,0,0.0005471580661833286,0,0.0005819839425384998
1,30,30,0.2,theta_star,cose,distractors,,,,0.0,3,0.04503549914807081,26,0.36056922003626823
2,30,30,0.2,a_star,shap,jitter,5,0.6666666666666666,0.6666666666666666,,1300,11.332350958604366,500,4.431232363451272
